gyarto;modell;gyartas_eve;szin;alvazszam;rendszam;uzemanyag;ajtok_szama;kormany_oldal;forgalomban
Saturn;Sky;2009;Fuscia;WBAVB73547K085047;GWR-575;dízel;5;bal;false
Subaru;Forester;2003;Teal;1FTEW1CM4BF164177;VEG-379;elektromos;3;jobb;false
Isuzu;Axiom;2004;Orange;4T1BK3DB8CU178005;QFK-410;elektromos;5;bal;false
Honda;Passport;1998;Indigo;WAUML54B82N100643;FQH-552;dízel;5;bal;true
Mitsubishi;Lancer Evolution;2002;Crimson;1GKS1AE07ER031144;IEC-383;dízel;3;bal;true
Land Rover;Range Rover;1994;Yellow;WVWED7AJ4AW123051;AUN-064;benzin;3;bal;false
Subaru;Brat;1984;Yellow;1G6AE1R35F0299229;LHL-034;dízel;3;bal;false
Ford;F150;1993;Pink;WBAVA375X7N527608;NOK-523;dízel;5;jobb;true
Chevrolet;Malibu;2002;Khaki;1C6RD7HT9CS502203;NDJ-966;dízel;5;bal;true
Volkswagen;Golf;2001;Crimson;WBAPK53599A459755;OZM-385;elektromos;5;jobb;false
BMW;X5;2007;Maroon;1LNHL9DK3DG786640;AVC-037;dízel;5;jobb;true
Porsche;968;1994;Indigo;WAULD54BX2N725246;LRU-528;elektromos;3;bal;false
Volvo;V70;1998;Pink;SCFFDAAE5AG442457;XLE-706;elektromos;3;jobb;true
Dodge;Viper;1997;Purple;WA1WMAFE6FD067494;XNQ-738;elektromos;5;bal;true
Lotus;Esprit;1989;Mauv;WAUJT68E54A281160;VYL-623;dízel;5;jobb;false
Land Rover;Freelander;2008;Turquoise;2C3CCABG5EH966954;ITL-478;elektromos;5;jobb;true
Dodge;Stratus;2000;Aquamarine;WUAW2BFC0FN062367;UET-032;dízel;5;bal;false
Isuzu;Trooper;2002;Orange;19UUA8F2XDA602878;XGN-241;benzin;5;bal;true
Oldsmobile;98;1994;Fuscia;19UUA9F73CA883017;KKB-142;elektromos;3;jobb;false
Plymouth;Acclaim;1995;Violet;YV426MDA9F2109052;MFN-479;dízel;5;jobb;false
Audi;S6;2002;Crimson;SCBBR9ZA1BC814385;YXD-508;dízel;3;jobb;false
Ford;Expedition;1997;Goldenrod;3C63DRKL4CG143036;TGP-663;dízel;3;jobb;false
BMW;7 Series;1996;Violet;WBSWL93538P686821;MTO-626;benzin;5;jobb;true
Chevrolet;Silverado 1500;2011;Khaki;1N6AA0CH3EN340821;WKX-220;dízel;3;bal;true
Volkswagen;Fox;1987;Crimson;1GD21ZCG6DZ851834;RZN-288;benzin;3;jobb;false
Chevrolet;Cavalier;1993;Red;3G5DA03E53S786016;NVJ-655;dízel;5;bal;true
Volkswagen;Passat;2004;Orange;WAUDH48H88K239904;UDY-907;benzin;3;bal;false
Chevrolet;G-Series G30;1993;Indigo;1G6DP1E30C0604449;KNX-984;benzin;5;bal;false
Hummer;H2;2008;Red;1GYS3EEJ2CR759452;MVT-494;elektromos;5;bal;true
Infiniti;G;2007;Teal;5TDDK3DC2FS677879;FWY-045;elektromos;5;bal;false
Chrysler;PT Cruiser;2006;Puce;WAUNF98P96A309783;SPM-883;benzin;3;bal;true
Chevrolet;Colorado;2009;Crimson;JM3TB2BVXD0138542;SVF-007;elektromos;3;bal;false
Chevrolet;Volt;2012;Goldenrod;3VW507AT4FM480148;BAY-647;dízel;5;jobb;true
Cadillac;DTS;2008;Khaki;JN8AZ2KR5BT636436;EWP-142;benzin;3;jobb;false
Buick;Enclave;2008;Mauv;5N1AN0NW9FN485006;AIP-773;dízel;5;bal;false
Dodge;Ram Van 1500;1996;Yellow;2C4RVAAG6CR270838;MSG-266;dízel;5;jobb;false
Pontiac;Firebird;1993;Khaki;3N1BC1CP8CK542574;KMH-078;dízel;3;bal;false
Oldsmobile;Silhouette;1997;Green;3D73Y4HL6BG927665;CRK-196;elektromos;3;bal;false
Pontiac;Tempest;1961;Mauv;SCBZK22E31C739470;JXG-516;elektromos;5;bal;false
Mazda;B-Series Plus;1997;Blue;KMHHU6KJ2FU725323;EKQ-780;elektromos;3;jobb;false
Pontiac;Trans Sport;1999;Turquoise;1G6KD54Y45U765239;EHL-662;benzin;5;jobb;true
Volvo;960;1995;Indigo;1G4HR54K81U795757;QNN-150;benzin;3;bal;true
Ford;Fairlane;1967;Fuscia;WP0AA2A83FK029118;MTO-051;dízel;3;jobb;false
Chevrolet;Monte Carlo;1999;Khaki;WP1AA2AP6AL819258;PGC-795;dízel;3;jobb;true
Subaru;Forester;2009;Fuscia;JH4KB166X7C419307;MAL-876;benzin;3;bal;false
Buick;Regal;1989;Khaki;YV140MAK6F1152483;UAZ-075;elektromos;5;bal;false
Ford;F250;2004;Yellow;3VW1K7AJ5DM639408;MXE-381;benzin;5;jobb;false
Lincoln;Town Car;1998;Teal;5N1AN0NU0AC332016;YOP-119;benzin;5;jobb;true
GMC;Sierra 1500;2013;Mauv;2C3CCABG4CH935627;VAH-584;elektromos;3;jobb;false
Bentley;Continental GTC;2011;Fuscia;YV1672MK3B2016983;INM-142;benzin;5;bal;false
Suzuki;X-90;1996;Pink;5XYKT3A17BG042204;JRM-405;elektromos;5;bal;false
Lamborghini;Murciélago;2005;Turquoise;2HNYD18683H907210;LWH-887;elektromos;3;bal;true
Toyota;Supra;1998;Violet;5UXZW0C5XBL191021;MGT-307;dízel;5;bal;true
Subaru;Impreza;2004;Turquoise;1VWAH7A38EC223078;IRK-154;benzin;3;bal;false
Austin;Mini Cooper;1961;Turquoise;JN1AZ4EHXFM581527;ZUY-510;benzin;5;jobb;false
Chrysler;LHS;1997;Red;1N6AD0CU6DN255233;LDX-303;elektromos;5;bal;false
Ford;Mustang;1974;Pink;WBAKG1C58CJ557378;MHM-793;benzin;5;bal;true
Infiniti;M;2007;Mauv;WAURFAFRXCA982021;WNA-489;benzin;3;jobb;true
Lamborghini;Murciélago;2002;Khaki;2B3CK9CV6AH918353;JQW-846;elektromos;5;bal;true
Lincoln;Mark VIII;1996;Khaki;TRUUT28N741196819;EUX-383;benzin;3;bal;true
Plymouth;Laser;1993;Fuscia;WDBWK5JAXBF998987;FEN-397;benzin;5;jobb;false
Mercedes-Benz;S-Class;2012;Orange;1G6DV1EP5D0483931;DZM-062;benzin;5;bal;false
Chevrolet;Silverado;2010;Khaki;JTEBU4BF5BK050322;XVV-507;benzin;5;bal;true
Mercedes-Benz;CLK-Class;2001;Maroon;3D7LT2ET0AG212578;EKX-805;elektromos;3;jobb;false
Ferrari;612 Scaglietti;2008;Crimson;JN8AZ2KR6BT410020;BTX-194;benzin;3;jobb;true
Toyota;Tacoma;1996;Orange;5N1AN0NW4DN806656;FRF-707;dízel;3;bal;false
Toyota;T100 Xtra;1997;Puce;WBANF73557C299205;SUX-022;elektromos;5;bal;false
BMW;X5;2010;Orange;JM3TB2BA7F0615413;ULP-305;dízel;5;bal;false
Jeep;Commander;2006;Fuscia;WAUZL54B31N015813;ZBK-103;benzin;3;jobb;true
Land Rover;LR2;2009;Red;3N1CN7AP3EK797172;WFY-990;dízel;3;bal;true
Ford;Expedition;2005;Mauv;1C3BCBFG2CN309139;YCL-784;benzin;5;jobb;false
Subaru;Brat;1985;Orange;1G4HR54K34U929790;XOC-967;elektromos;5;bal;false
GMC;Savana 1500;2008;Pink;WDDHF2EB9CA406001;LJN-477;elektromos;5;bal;true
Porsche;911;1990;Goldenrod;5TDDK3DC3FS340802;CMH-647;benzin;3;bal;false
Ford;Escort;1987;Purple;3D73Y4CL1BG916869;CDY-977;dízel;5;jobb;true
Mazda;626;1983;Orange;2B3CK4CV9AH410171;ZVN-726;benzin;5;bal;false
Ford;F150;2012;Violet;1GKS2FEJ5DR971234;NKG-417;elektromos;3;jobb;false
BMW;M3;1997;Maroon;1D7CW5GK3AS295378;IDD-264;elektromos;5;bal;true
Ford;E350;2006;Teal;WBA3N7C5XFK267218;DHZ-336;dízel;5;jobb;false
Chevrolet;Suburban 2500;2001;Khaki;1D7RB1CT6BS087879;SFC-944;dízel;5;jobb;true
Mazda;Mazda3;2010;Maroon;1G6DG8EG6A0920138;SMT-158;benzin;5;bal;true
Dodge;Dakota Club;1995;Green;KMHFG4JG2DA984773;SRU-709;elektromos;3;bal;true
Toyota;Tercel;1996;Aquamarine;5FNYF3H35FB490799;EVX-079;dízel;5;bal;false
Lincoln;MKS;2011;Violet;JN1AZ4EH2FM167982;YGI-209;elektromos;3;bal;false
Chevrolet;Corvette;1997;Aquamarine;WA1DKBFP6BA349232;PHH-888;benzin;5;jobb;true
Subaru;Baja;2004;Khaki;1GD020CGXBF849986;KZZ-166;benzin;3;bal;false
Oldsmobile;Silhouette;2000;Mauv;5UMBT93537L699317;WNZ-673;dízel;3;bal;true
Mercedes-Benz;300E;1993;Purple;WAUFFAFLXBA114789;XTO-956;benzin;3;bal;false
Volkswagen;New Beetle;2004;Green;3GTU2YEJ1DG735146;IPN-341;benzin;3;jobb;true
Toyota;Previa;1993;Violet;3C3CFFCR9ET440256;OXT-160;dízel;3;bal;false
Cadillac;SRX;2008;Fuscia;19XFB4F25EE006749;BYB-421;elektromos;5;bal;true
Mercedes-Benz;G-Class;2007;Maroon;WBABW33464P314074;NIS-286;benzin;5;bal;false
Toyota;Sienna;2009;Orange;WBADT33453G066108;BGW-318;benzin;3;bal;false
Kia;Sportage;2012;Turquoise;4F2CY0C76AK321061;BHW-085;benzin;3;jobb;true
Chevrolet;Impala;2010;Turquoise;1G4HR54K82U322359;QIR-903;dízel;3;jobb;false
Mazda;MX-5;2006;Teal;2C3CCARG6FH437195;SEI-166;benzin;5;bal;false
Dodge;Stratus;1996;Blue;1FTSW3B55AE887050;RHP-854;benzin;5;bal;false
Chevrolet;Express 1500;2000;Turquoise;1G6DM57T970910794;GZF-568;elektromos;3;jobb;true
Ford;Explorer;1992;Indigo;2G4WB55K411571715;DZQ-800;benzin;5;jobb;true
Dodge;Ram 2500;1995;Mauv;KNAFU5A25B5684753;RDZ-813;elektromos;3;bal;true
Lexus;RX;2011;Yellow;JTDKN3DP1C3063632;KJZ-997;benzin;3;jobb;true
Dodge;Ram Wagon B250;1992;Khaki;19UUB2F33FA302539;BXG-678;elektromos;3;jobb;true
Mazda;323;1992;Goldenrod;WAUFFAFL3EA501768;LRL-475;dízel;5;jobb;true
Honda;Insight;2006;Violet;WBAKG7C57CE473239;YOM-721;elektromos;5;bal;true
Mercury;Villager;1999;Yellow;JN1AZ4FH8FM425131;ZKM-067;dízel;3;jobb;true
Fiat;500;2012;Crimson;WAUAFAFL3EN230522;ZQG-502;elektromos;3;bal;true
Mitsubishi;Cordia;1984;Yellow;KMHDB8AE2CU001437;LXS-870;benzin;3;bal;true
Lamborghini;Gallardo;2004;Yellow;WVWAN7AN7EE043527;BWR-388;elektromos;5;jobb;true
Toyota;4Runner;2003;Pink;WP0CA2A88AU065957;QPM-375;benzin;3;bal;false
Chevrolet;HHR;2010;Orange;KNAGN4AD9F5440090;YDV-804;benzin;5;jobb;true
Lexus;ES;2002;Yellow;WVGEF9BP0DD221028;YIP-505;elektromos;3;bal;false
Lexus;GS;1994;Red;JTEBU4BF2BK906322;SOZ-779;benzin;5;bal;true
Lexus;RX;2013;Red;JTHBK1EG2C2498675;STX-343;elektromos;3;jobb;false
Pontiac;Bonneville;1996;Violet;5N1AL0MM0DC913009;SBO-556;benzin;5;bal;false
GMC;3500;1993;Blue;3C63D2JL7CG287513;UNC-841;dízel;5;bal;false
Merkur;XR4Ti;1985;Blue;KMHDB8AE7CU946447;IJZ-948;dízel;3;jobb;false
Audi;Coupe Quattro;1991;Violet;5N1AT2ML9EC797720;CMH-027;dízel;3;jobb;true
Mitsubishi;Eclipse;2012;Aquamarine;WBSBR93432E607932;NKA-575;dízel;5;bal;true
Eagle;Summit;1993;Orange;WAUHF78P07A174471;ALH-093;dízel;3;jobb;false
Kia;Sephia;2001;Violet;19UUA86279A127892;AOQ-542;dízel;5;bal;true
Chrysler;Grand Voyager;2000;Green;JM1DE1HYXB0968483;VJV-737;dízel;3;jobb;true
Dodge;Challenger;2009;Puce;2HNYD18244H352173;PGD-568;benzin;5;jobb;true
Mazda;929;1991;Mauv;WAUEKAFB5BN286039;ZDZ-396;dízel;3;bal;true
Dodge;Caravan;2000;Purple;WBADX7C57DP108235;SVH-565;benzin;5;bal;false
Ford;Escort;2004;Indigo;KNAFT4A2XC5016896;TEN-256;elektromos;5;jobb;true
Jeep;Compass;2011;Purple;WAUVC58E15A898164;JRO-170;benzin;5;bal;false
Ford;Econoline E350;1995;Khaki;WBADN63413G363937;RVH-036;benzin;3;bal;false
Chevrolet;3500;2000;Khaki;WBS3U9C53FJ237025;RRN-267;dízel;3;bal;false
Buick;Skyhawk;1988;Teal;JH4KA96684C228563;GQC-051;dízel;3;bal;false
Toyota;4Runner;2002;Aquamarine;JA32X2HU8EU969342;FFM-185;dízel;3;bal;false
Toyota;Avalon;2005;Teal;5N1AA0NE2FN810274;MIT-668;elektromos;5;jobb;true
Plymouth;Voyager;1999;Red;JH4CL96818C470486;YXN-020;elektromos;3;bal;true
Dodge;Journey;2009;Teal;WAUJC68EX5A736859;AGR-648;elektromos;5;bal;false
Pontiac;6000;1986;Purple;WDDEJ7EB3DA933466;JVV-320;dízel;5;bal;true
Pontiac;Firebird;2001;Turquoise;1LNHL9DR3BG531609;XOI-563;benzin;3;jobb;false
Dodge;Viper;2003;Khaki;SCBDR33W47C297679;SSU-954;elektromos;3;bal;false
GMC;Suburban 2500;1993;Indigo;1GD12XEG6FF764627;QKV-045;elektromos;3;bal;true
Toyota;Matrix;2005;Teal;5J6TF2H54DL765279;QPD-973;dízel;3;bal;false
Honda;CR-V;1998;Maroon;5FRYD4H6XEB280797;KAX-773;elektromos;5;jobb;true
Volkswagen;Jetta;1992;Goldenrod;2T1KE4EE7AC397851;VQD-700;elektromos;3;jobb;false
Dodge;Monaco;1992;Green;2C3CCAAG0EH645843;RNK-468;benzin;3;bal;true
Pontiac;G8;2008;Yellow;WBADW7C52CE570201;JAZ-780;dízel;3;bal;true
Dodge;Dakota;2002;Yellow;WAUBFAFL4BA984973;UPH-531;elektromos;5;jobb;true
Ford;F-Series;2007;Green;WBA3B5C52FF018580;PLP-369;dízel;3;bal;true
Mercedes-Benz;190E;1992;Indigo;WAUMF78P06A977049;ZCH-641;dízel;5;jobb;true
Ford;Transit Connect;2012;Blue;NM0KS9BNXDT809314;IMQ-460;benzin;5;bal;true
Nissan;Rogue;2010;Puce;1G6KD57Y66U948784;RBR-958;dízel;5;jobb;false
Bentley;Azure;2007;Khaki;19XFB2E56CE594531;QKP-986;elektromos;3;jobb;false
Mercedes-Benz;E-Class;1988;Violet;1FTWW3B54AE729669;VZA-588;dízel;5;bal;false
Ford;GT;2006;Crimson;1FAHP2DWXAG375675;TRI-506;elektromos;5;bal;false
Honda;Pilot;2003;Crimson;5J6TF1H59FL603144;HDN-446;benzin;3;bal;true
Buick;Regal;1989;Puce;WBAVB73527V615823;KCN-540;dízel;3;bal;true
Oldsmobile;88;1996;Aquamarine;WBA3B9C57DF215491;MSB-910;dízel;3;bal;true
Dodge;Ram Wagon B250;1992;Purple;1N6AF0LXXFN622240;UWQ-907;elektromos;5;bal;true
BMW;M3;1995;Fuscia;WAUGFAFC7DN955338;GDQ-204;dízel;5;bal;false
Pontiac;Grand Prix;1993;Pink;JTDJTUD32DD967408;FBE-635;elektromos;5;bal;true
Suzuki;XL7;2009;Aquamarine;5GALVAED7AJ394092;YUB-425;benzin;3;jobb;true
Ford;Windstar;2001;Turquoise;KMHGH4JH0FU257546;KWK-251;benzin;3;bal;true
Lotus;Esprit;1992;Red;2HNYD28457H730075;OPJ-256;elektromos;3;jobb;true
Chevrolet;Bel Air;1967;Blue;1GTG5AEA9F1127517;NVV-541;elektromos;3;jobb;true
Toyota;Supra;1994;Mauv;WAU3GBFC2DN048028;FOA-304;elektromos;3;bal;false
Mercury;Sable;1999;Orange;KNDPB3A20C7972087;NMB-547;benzin;3;jobb;true
Toyota;Tacoma Xtra;1997;Aquamarine;1J4RG4GKXAC932332;AKX-799;elektromos;3;bal;false
Saturn;Relay;2005;Khaki;WAULC68E03A203344;CVN-064;dízel;3;bal;true
Land Rover;Defender 90;1995;Goldenrod;JN8AF5MR6DT849051;SQS-684;benzin;5;bal;false
Dodge;Caravan;2009;Fuscia;4T3BA3BB0BU022875;JDQ-231;dízel;5;bal;false
Acura;Integra;1996;Aquamarine;WAUTFAFH5DN942467;QBW-952;dízel;5;jobb;true
Suzuki;Esteem;1996;Puce;JN1CV6EK5DM616659;WYK-973;elektromos;5;bal;false
Acura;Integra;2000;Mauv;WAUJ2AFD0FN378116;QLB-567;dízel;5;jobb;true
Jaguar;XJ;2011;Khaki;1FTSX2A57AE746067;BAU-281;benzin;5;jobb;true
Mercedes-Benz;W201;1987;Aquamarine;1C6RD7KP6CS041506;POL-329;benzin;5;jobb;false
Audi;A4;2002;Mauv;JM1CW2BL4E0687831;YYL-676;benzin;3;bal;true
Plymouth;Grand Voyager;1996;Violet;2G4WD582461483020;QXW-271;elektromos;3;bal;true
Saturn;S-Series;1993;Violet;NM0KS7DN1AT001687;AJO-985;dízel;3;jobb;true
Honda;Prelude;1998;Mauv;2B3CA7CW9AH477186;GDP-278;benzin;5;bal;false
Mercedes-Benz;R-Class;2008;Purple;WBANV13518C152378;LQS-986;benzin;3;jobb;false
Dodge;Ram Wagon B350;1994;Violet;WAUMGAFL9CA806175;VTP-888;benzin;3;jobb;true
Toyota;Supra;1998;Mauv;WAUFFAFL0DN353585;XVB-678;dízel;3;bal;false
GMC;2500;1998;Crimson;WBA3A9C57DF676628;YLY-859;dízel;5;jobb;true
Mercury;Monterey;2006;Puce;3VW8S7AT4FM942702;AQE-552;dízel;3;jobb;true
Mercedes-Benz;G-Class;2007;Orange;JM1NC2JF5F0207861;YLE-115;benzin;3;bal;false
Ford;E-Series;1992;Goldenrod;JH4DC54846S589796;KCI-215;benzin;3;jobb;false
Mitsubishi;GTO;1997;Fuscia;4T1BK1EB6FU551016;GBE-677;elektromos;5;jobb;true
BMW;X5;2001;Green;3GYFNKE68BS333878;UFC-424;benzin;5;jobb;true
Honda;CR-V;2000;Purple;WBA3B3C53FJ354210;NKU-002;dízel;3;bal;true
GMC;Vandura 1500;1993;Turquoise;1G6AB5SX2E0924620;FEK-508;dízel;3;jobb;false
Spyker;C8;2005;Puce;WVWED7AJ3BW913264;HHM-065;elektromos;3;bal;false
Chevrolet;Aveo;2004;Indigo;WBA3C1C54CA594721;TAV-680;benzin;3;bal;false
GMC;Rally Wagon 1500;1992;Yellow;WAUKF78E35A284366;WHS-075;dízel;5;bal;false
Ford;Mustang;1993;Goldenrod;JTHDU1EF5A5339980;OKE-731;elektromos;3;jobb;false
Toyota;Prius;2007;Puce;3VW1K7AJ0BM825984;AXH-242;elektromos;5;jobb;true
Honda;Civic;2003;Blue;3N1AB7AP6FL547470;JYC-622;dízel;5;bal;false
BMW;7 Series;2008;Yellow;WAUVT54B73N185464;TFP-159;benzin;3;bal;false
Mercedes-Benz;SL-Class;1985;Orange;19UUA9F29EA316897;LES-769;elektromos;3;jobb;false
Hyundai;Elantra;2003;Khaki;3VW507AT7EM880395;ENQ-437;elektromos;3;jobb;false
Nissan;200SX;1998;Red;WP0CA2A86BU099980;RKS-493;elektromos;5;jobb;false
Aston Martin;Virage;2011;Aquamarine;2G4GT5GX6E9949602;MEU-549;dízel;5;jobb;true
Ford;F-Series Super Duty;2012;Mauv;WBAVC93548K678630;CLI-006;elektromos;3;bal;true
Smart;Fortwo;2010;Indigo;3VWKX7AJ9BM025156;LSD-300;dízel;3;bal;true
Dodge;Ram Van 2500;1997;Goldenrod;WUARL48H59K749106;GKO-767;elektromos;5;jobb;true
Suzuki;Grand Vitara;2008;Yellow;1G6KE57Y04U351172;ERQ-508;dízel;5;jobb;true
Dodge;Ram Wagon B150;1992;Green;3C63D2CL0CG767874;QWF-900;elektromos;5;bal;true
Mercedes-Benz;S-Class;2005;Yellow;WAUWFAFL2BA809459;RAP-317;benzin;3;jobb;true
BMW;5 Series;2002;Goldenrod;1GYS3AEFXBR501635;RYY-055;benzin;3;bal;true
Chevrolet;Corvette;2010;Purple;WBAKE3C57CE251279;IWN-444;dízel;3;jobb;false
Chevrolet;S10;1999;Puce;2G4WB52K921850776;XMK-782;benzin;3;bal;false
BMW;7 Series;1996;Goldenrod;5FNRL5H25FB855630;TNO-994;elektromos;5;jobb;true
Aston Martin;DB9;2006;Violet;4JGDA0EB6FA974198;XCE-042;dízel;3;jobb;false
Buick;LaCrosse;2012;Pink;JN8AF5MR4BT514223;KVT-546;dízel;3;bal;true
Rolls-Royce;Ghost;2010;Puce;WVGEF9BP9DD907889;MAN-172;dízel;3;bal;true
Subaru;Impreza;2009;Purple;WA1BV94L68D441813;UZT-692;benzin;3;bal;true
Chevrolet;Impala;2004;Teal;2B3CJ5DT3AH343976;JVG-454;elektromos;3;jobb;true
Mercury;Cougar;1984;Fuscia;1N6AA0CJ8EN294356;NZS-620;benzin;5;bal;false
Mitsubishi;GTO;1996;Goldenrod;1FMJU2A51AE882677;DNH-542;benzin;5;jobb;true
Lexus;RX;2003;Puce;2B3CA9CV1AH107594;UII-069;elektromos;5;bal;true
Chevrolet;TrailBlazer;2009;Purple;1FTEX1E86AK747255;TNX-581;elektromos;3;bal;true
Lotus;Elan;1990;Teal;2G4GR5GX6F9542184;WDC-026;dízel;5;bal;false
Lamborghini;Gallardo;2011;Pink;JN8AZ1MU5CW623844;ZUZ-483;dízel;5;jobb;true
Honda;Ridgeline;2012;Violet;3N1BC1APXBL148019;XRE-592;dízel;3;bal;false
GMC;Sierra 3500;2011;Yellow;1G6KS54YX2U053660;FAQ-524;elektromos;5;jobb;true
Toyota;Sequoia;2004;Puce;WA1WKAFP4AA336013;EJX-384;elektromos;3;jobb;false
Mazda;Mazdaspeed 3;2011;Yellow;3GTU2YEJXDG038073;EJC-278;elektromos;3;jobb;true
GMC;Yukon XL 1500;2013;Indigo;5FNRL5H23CB192604;GOQ-664;elektromos;3;jobb;false
Ford;C-MAX Hybrid;2013;Pink;WA1CYBFE3AD125499;IQN-870;dízel;3;jobb;true
Volkswagen;New Beetle;2004;Crimson;3VW507AT4FM457274;KVD-309;benzin;3;jobb;true
Ferrari;599 GTB Fiorano;2008;Crimson;SCBET9ZA4F8330377;WJM-541;benzin;3;bal;false
Dodge;Grand Caravan;2012;Purple;WBAFR9C50BD381319;MSZ-119;dízel;5;bal;true
GMC;Yukon;2012;Green;WUARL48HX6K446396;LIM-708;dízel;3;bal;true
Chrysler;200;2011;Pink;1G6DN57U470673539;DRV-106;benzin;5;bal;false
Pontiac;Firefly;1991;Mauv;WAUVC58E33A927922;TWT-954;elektromos;5;bal;true
Buick;Skylark;1998;Goldenrod;3D7JB1ET0BG820123;EUH-694;dízel;3;jobb;false
Mercedes-Benz;C-Class;1998;Puce;KMHHT6KDXCU757753;PIQ-110;elektromos;3;jobb;true
Volkswagen;Fox;1990;Crimson;WVWAB7AJ8DW821056;HLL-724;benzin;3;bal;false
Lexus;RX;2010;Turquoise;5UXZV4C55CL679451;TRG-770;dízel;3;jobb;false
Volvo;C30;2013;Khaki;WUARL48H46K725553;VVL-199;dízel;5;jobb;false
GMC;Sierra 2500;2009;Turquoise;1FTEX1E82AF356063;YJY-231;elektromos;3;bal;true
Jaguar;XK;2008;Yellow;1N6AA0CJ4DN785781;EHW-572;elektromos;5;bal;false
Volvo;S60;2005;Indigo;WA1WMAFE6FD927748;RUB-689;elektromos;5;jobb;false
Mitsubishi;Pajero;2005;Teal;W04G15GVXB1020323;JVD-287;dízel;5;bal;true
Ford;Thunderbird;1958;Maroon;WUARU78E87N972983;UPV-791;benzin;3;jobb;false
